pub_types,count
Journal Article,10594
"Research Support, Non-U.S. Gov't",1317
Comparative Study,1177
Randomized Controlled Trial,628
Case Reports,385
Systematic Review,350
Multicenter Study,325
Review,294
Meta-Analysis,259
"Research Support, N.I.H., Extramural",211
Observational Study,131
Evaluation Study,126
Validation Study,60
Clinical Trial,52
"Research Support, U.S. Gov't, Non-P.H.S.",26
"Research Support, U.S. Gov't, P.H.S.",26
Controlled Clinical Trial,12
Equivalence Trial,8
Network Meta-Analysis,7
Historical Article,6
Consensus Statement,4
"Clinical Trial, Phase II",4
Scoping Review,3
Practice Guideline,3
"Clinical Trial, Phase IV",2
Conference Proceedings,2
"Research Support, N.I.H., Intramural",2
Portrait,1
Clinical Study,1
Introductory Journal Article,1
Clinical Trial Protocol,1
Guideline,1
"Clinical Trial, Phase I",1
"Clinical Trial, Phase III",1
