n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_topics,noise_pct,coherence_npmi,diversity
5,5,5,eom,445,36.9,,0.6919
5,10,5,eom,251,36.9,0.0556,0.6462
5,15,5,eom,148,34.1,0.0758,0.6473
5,20,5,eom,105,32.3,0.0918,0.6371
5,30,5,eom,68,32.3,0.0941,0.6779
10,5,5,eom,306,43.1,0.0477,0.7039
10,10,5,eom,179,42.0,0.0725,0.6793
10,15,5,eom,119,44.0,0.0904,0.658
10,20,5,eom,83,41.0,0.1017,0.6675
10,30,5,eom,4,0.6,0.0284,0.975
15,5,5,eom,255,49.3,0.0401,0.7082
15,10,5,eom,155,49.2,0.0786,0.6761
15,15,5,eom,97,48.2,0.1028,0.6928
15,20,5,eom,73,46.3,0.1121,0.7082
15,30,5,eom,53,48.1,0.1396,0.7208
20,5,5,eom,236,50.6,0.0429,0.7051
20,10,5,eom,122,46.3,0.0669,0.6828
20,15,5,eom,86,46.0,0.0881,0.6953
20,20,5,eom,70,46.4,0.093,0.7186
20,30,5,eom,47,46.7,0.1177,0.7447
